GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Galston Medical Practice - Galston (80260),80260,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",79,28.23,0,71.77
Gardner Street Surgery - Glasgow (40192),40192,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",62,62.84,0,37.16
Garelochhead Medical Centre - Garelochhead (85117),85117,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,76.8,0,23.2
Garscadden Burn Medical Practice - Glasgow (40436),40436,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,13.35,0,86.65
Garthdee Medical Group - Aberdeen (30030),30030,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,46.92,0,53.08
Gergask Surgery - By Newtonmore (55944),55944,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,100,0,0
Gilbert Road Medical Group - Aberdeen (31211),31211,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,48.43,0,51.57
Gillbrae Medical Practice - Dumfries (18310),18310,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",58,83.47,0,16.53
Gilmore Medical Practice - Edinburgh (71222),71222,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,46.36,0,53.64
Glasgow West Medical Practice - Glasgow (40629),40629,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",73,61.82,0,38.18
Glebe Medical Practice - Lesmahagow (62632),62632,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",91,21.15,0,78.85
Glen Mor Medical Practice - Fort William (55610),55610,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,47.57,0,52.43
Glenboig Surgery (60228),60228,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",60,58.89,0,41.11
Glenburn Medical Practice - Paisley (87517),87517,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,55.57,0,44.43
Glenelg Health Centre - Glenelg (55554),55554,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",60,100,0,0
Glenfield Medical Practice - Galashiels (16244),16244,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,64.48,0,35.52
Gleniffer Medical Group - Barrhead (87019),87019,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",82,35.67,0,64.33
Glenkens Medical Practice - New Galloway (18235),18235,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,96.63,0,3.37
Glenlivet Medical Practice - Ballindalloch (33061),33061,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,91.12,0,8.88
Glenluce Surgery - Wigtownshire (18589),18589,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",106,97.76,0,2.24
Glenmill Medical Practice - Glasgow (46057),46057,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",76,55.72,0,44.28
Golspie Medical Practice (55220),55220,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",82,87.78,0,12.22
Gourock Medical Practice - Gourock (86001),86001,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",90,42,0,58
Gracemount Medical Practice - Edinburgh (70516),70516,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",89,15.48,0,84.52
Graeme Medical Centre - Falkirk (25309),25309,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",86,29.21,0,70.79
Grange Medical Group - Edinburgh (70412),70412,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,60.36,0,39.64
Grantown On Spey Medical Practice - Grantown On Spey (55925),55925,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",62,73.68,0,26.32
Great Western Medical Practice - Aberdeen (30307),30307,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,19.89,0,80.11
"Green Practice, Whitefriars Surgery - Perth (13891)",13891,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,40.56,0,59.44
Greencroft South Medical Group - Annan (18409),18409,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,60.38,0,39.62
Greenlaw Medical Practice - Newton Mearns (49568),49568,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",37,34.59,0,65.41
Greenlaw Surgery - Greenlaw (16475),16475,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,95.25,0,4.75
Gretna Surgery - Gretna (18428),18428,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",83,71.54,0,28.46
Greyfriars Medical Centre - Dumfries (18560),18560,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",72,31.67,0,68.33
Grove Health Centre - Dundee (10106),10106,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",73,14.43,0,85.57
Gullane Medical Practice - Gullane (76029),76029,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",57,62.88,0,37.12
Haddo Medical Group - Ellon (31916),31916,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",53,53.67,0,46.33
Hamilton Medical Group - Aberdeen (30218),30218,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",63,47.57,0,52.43
Hamilton West Medical Practice - Hamilton (63461),63461,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,19.61,0,80.39
Hawkhill Medical Centre - Dundee (11363),11363,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,12.33,0,87.67
Heilendi Practice - Orkney (38205),38205,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",89,85.25,0,14.75
Helmsdale/Brora Med Practice - Brora (55287),55287,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",72,88.28,0,11.72
Hermitage Medical Practice - Edinburgh (71449),71449,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",85,65,0,35
High Mill Medical Practice - Carluke (62219),62219,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,63.67,0,36.33
Hillbank Health Centre - Dundee (11861),11861,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,18.54,0,81.46
Hillswick Health Centre - Shetland (39034),39034,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",87,98.39,0,1.61
Holburn Medical Group - Aberdeen (30059),30059,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",73,48.51,0,51.49
Hospital Hill Surgery - Dunfermline (20471),20471,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,29.3,0,70.7
Howden Health Centre - Livingston (78255),78255,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",87,25.85,0,74.15
Howe of Fife Surgery - Fife (21101),21101,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",102,10.83,0,89.17
Huntergreen Medical Practice - East Kilbride (63264),63264,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,27.19,0,72.81
Inchcruin Practice - Alexandria (85259),85259,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,64.83,0,35.17
Inchpark Surgery - Edinburgh (70291),70291,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",93,41.41,0,58.59
Insch Medical Practice - Insch (32001),32001,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",52,74.91,0,25.09
Inverbervie Medical Group - Inverbervie (32514),32514,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",48,36.2,0,63.8
Inveresk Medical Practice - Musselburgh (76141),76141,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,39.4,0,60.6
Invergowrie Medical Practice - Invergowrie (13369),13369,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",52,63.52,0,36.48
Inverkeithing Medical Group - Inverkeithing (20752),20752,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",68,48.91,0,51.09
