gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
The Cairntoul Practice - Glasgow (40493),40493,S01010435,2381,65.24,63.47,75.88,1314,2342,912,2766,2283,6738,0.11,175,64.81,1,8.36,65.1,47.96,69.8
The Carse Medical Practice - Errol (13142),13142,S01011962,3282,74.2,75.26,96.07,6431,6281,6647,6294,5998,326,0.02,30,61.4,0,3.2,61.94,50.4,75.3
The Cathcart Street Medical Practice - Ayr (80109),80109,S01012481,7690,75.62,79.06,86.53,1568,1474,1215,1359,3156,5950,0.15,125,69.68,1,9.84,61.44,50.51,71.9
The Charleston Surgery - Paisley (87466),87466,S01012129,7108,66.17,92.57,82.59,1563,617,864,898,1644,6924,0.2,170,75.88,1,4.93,70.5,51.08,77.1
The Consulting Rooms - Paisley (87502),87502,S01012129,7330,58.25,78.69,87.78,1563,617,864,898,1644,6924,0.2,170,75.88,1,4.93,65.69,50.65,77.1
The Craigallian Avenue Practice - Cambuslang (60177),60177,S01012831,9237,62.82,88.75,86.35,964,1092,1000,2313,935,5345,0.17,170,58.68,1,3.97,65.46,51.16,76.9
The Craigshill Partnership - Livingston (78311),78311,S01013306,8688,48.93,91.35,85.75,334,378,324,1843,213,3625,0.23,230,70.69,1,6.34,69.11,49.59,74.5
The Crescent Medical Practice - Glasgow (52058),52058,S01009870,5795,60.82,68.66,81.81,2414,3312,2579,89,1375,6740,0.08,115,74.75,1,45.62,71.49,48.92,69.8
The David Elder Medical Practice - Glasgow (52062),52062,S01009840,5334,86.91,89.76,91.08,870,755,452,1110,1968,6562,0.19,225,62.24,1,1.35,69.93,49.53,69.8
The Ellwyn Practice - Galashiels (16193),16193,S01012285,2988,82.07,91.03,91.36,4749,3191,4377,4059,5668,4917,0.09,70,54.86,1,3.17,65.09,49.4,79.3
The Faraday Medical Practice - Coatbridge (61240),61240,S01011601,6795,60.11,95.26,87.24,5703.5,5548.5,4191,3727,4062,4519,0.03,75,71.43,1,5.07,67.71,50.49,69.7
The Firhill Practice - Glasgow (43167),43167,S01010305,5493,85.05,92.63,93.28,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,72.89,47.61,69.8
The Firrhill Medical Centre - Edinburgh (71097),71097,S01008526,5532,56.92,76.3,86.95,2835,3431,3606,2578.5,3582,5875,0.08,85,62.04,1,12.12,64.43,51.03,73.9
The Fullarton Medical Practice - Ayr (80113),80113,S01012482,8161,88.38,90.19,87.86,3337,2009,2014,3746,4357,6840,0.13,100,51.25,1,5.51,61.22,51.76,71.9
The Furnace/Inveraray Surgery - Argyll (84307),84307,S01007312,1184,70.92,95.95,87.01,4020,4009,5591,4487,4089,469,0.06,65,56.11,0,2.99,59.97,50.25,75.8
The Glenwood Practice - Glenrothes (20630),20630,S01009562,6184,64.09,90.56,88.35,1733,3036,2614,3953,2564,6016,0.09,120,59.87,1,3.63,65.15,50.26,70.4
The Gordon Practice - Glasgow (49604),49604,S01010034,6087,59.2,56.54,86.64,734,1121,526,336,918,4478,0.17,195,71.34,1,19.02,72.99,46.69,69.8
The Green Medical Practice - Clydebank (40224),40224,S01013128,8878,74.41,90.47,88.85,949.5,679,718,464,424,2290,0.2,185,79.83,1,3.69,66.72,51.81,72.8
The Green Practice - Edinburgh (70094),70094,S01008860,10123,88.39,95.04,92.7,4682,4844,5099,1123,5380,6845,0.04,60,78.11,1,15.31,73.41,52.65,73.9
The Green Practice - Glasgow (52096),52096,S01009840,4842,76.5,89.42,86.77,870,755,452,1110,1968,6562,0.19,225,62.24,1,1.35,73.11,49.9,69.8
The Greenlaw Practice - Paisley (87541),87541,S01012153,7549,85.84,95.26,90.93,797,447,284,458,1388,6230,0.22,215,77.97,1,9.48,68.55,51.15,77.1
The Group Practice - Eyre - Edinburgh (71326),71326,S01008856,10141,83.8,87.15,94.84,6217.5,6521,6854,550,6610,6968,0.02,30,82.32,1,26.87,76.13,50.29,73.9
The Group Practice - Isle Of Lewis (90031),90031,S01009043,8068,78.44,96.1,94.44,3866.5,2621,3187,5452.5,4778,6314,0.1,90,57.33,0,3.84,62.92,51.05,81
The Harbours Medical Practice - Cockenzie (76052),76052,S01008210,9786,59.31,93.06,89.32,2490.5,2658,3091,3626,2602,5882,0.1,110,63.86,1,2.89,61.99,50.92,75.3
The Health Centre - Port Glasgow (86271),86271,S01010911,3904,78.75,79,92.27,439,254,380,1225,409,6900,0.25,195,59.61,1,0.92,62.94,50.31,68.2
The Hopetoun Practice - Edinburgh (70521),70521,S01008845,7442,84.71,89.3,94.97,6585,6858,6812,2087,6664,6683,0.01,20,82.89,1,27.9,84.92,49.88,73.9
The Kelburn Practice - Paisley (87521),87521,S01012153,4345,76.91,95.45,91.62,797,447,284,458,1388,6230,0.22,215,77.97,1,9.48,66.26,51.67,77.1
The Ker Practice - Glasgow (49765),49765,S01009989,10351,46.68,71.26,68.8,2503,1988,2006,1525.5,1226,6864,0.13,130,68.14,1,4.7,68.63,50.02,69.8
The Khan Medical Surgery - Glasgow (49411),49411,S01010001,1698,66.08,90.92,89.6,2478,3489,3218,3660,2968,5867,0.08,115,61.27,1,11.53,64.61,48.29,69.8
The Lennox Practice - Alexandria (85225),85225,S01013228,4810,75.53,74.31,93.81,983,1055,982,1349.5,477,6398,0.17,155,67.62,1,1.71,64.78,51.91,72.8
"The Links Practice - Burntisland, Fife (20184)",20184,S01009459,1897,75.94,88.73,93.22,1707,1354,1881,3198,2565,6346,0.15,115,62.93,1,3.58,61.25,49.55,70.4
The Lomond Practice - Glenrothes (20606),20606,S01009562,10303,57.46,91.06,80.97,1733,3036,2614,3953,2564,6016,0.09,120,59.87,1,3.63,63.88,51.3,70.4
The Long House Surgery - Edinburgh (70234),70234,S01008826,8051,83.2,90.19,92.59,3928,3202.5,3771,475,5991,5000,0.09,75,73.01,1,9.64,67,51.35,73.9
The Love Street Medical Centre - Paisley (87560),87560,S01012153,5639,69.51,79.57,84.56,797,447,284,458,1388,6230,0.22,215,77.97,1,9.48,69.3,49.32,77.1
The Maclean Medical Practice - Clarkston (49638),49638,S01008383,8868,91.25,87.99,93.15,6362,5979,5750,6736,6922,6608,0.03,50,62.17,1,5.63,59.15,52.28,73.6
The Mirin Practice - Paisley (87555),87555,S01012134,9109,77.63,82.34,81.36,2792,3324,3194,3726,3826,6403,0.08,100,58.06,1,9.21,67.75,50.29,77.1
The Moffat Surgery - Moffat (18396),18396,S01007642,5246,64.33,92.68,88.76,3620,3637.5,3640,3472,5599,5768,0.07,80,50.78,0,4.91,58.77,50.15,68.3
The Motherwell Medical Practice - Motherwell (60213),60213,S01011474,11113,61.5,86.88,88.55,851,564,332,3084,1501,6702,0.21,190,58.7,1,3.76,66.19,49.73,69.7
The Muirside Medical Practice - Glasgow (46305),46305,S01010086,7899,44.69,74.72,86.73,507,484,84,838,759,3497,0.22,240,62.3,1,1.75,66.29,51.73,69.8
The Murray Surgery - East Kilbride (63301),63301,S01012974,11347,67.08,95.16,90.19,1474,1211,572,2968,2150,3342,0.16,160,57.8,1,1.76,66.77,50.74,76.9
The Neidpath Practice - Peebles (16160),16160,S01012253,5922,59.61,86.43,88.81,3371,2917,2788,2332,4345,6693,0.09,80,58.57,1,8.35,61.9,51.01,79.3
The Oaks Medical Practice - Barrhead (87108),87108,S01008310,3988,58.97,72.65,76.13,2810,2967,2051,3286,4998,5523,0.09,140,65.72,1,1.69,69.93,47.24,73.6
The Orange Wing Medical Practice - Clydebank (40582),40582,S01013128,6050,65.24,89.94,86.42,949.5,679,718,464,424,2290,0.2,185,79.83,1,3.69,67.01,50.79,72.8
The Orchard Medical Practice - Haddington (76103),76103,S01008256,5426,76.19,81.37,93.46,1378,1343,2242,1616,2056,3820,0.15,110,65.52,1,6.8,63.05,52.03,75.3
The Pearson Practice - Wick (55145),55145,S01010781,2327,89.88,96.04,93.71,4752,4138,3526,5302,3383,6233,0.06,80,66.33,0,2.95,63.52,47.7,78.6
The Peat Road Medical Practice - Glasgow (52293),52293,S01009775,5439,52.85,79.32,81.07,155,217,19,471,485,5151,0.26,275,61.19,1,5.24,68.03,50.89,69.8
The Pentlands Medical Practice - Currie (70930),70930,S01008430,14039,78.84,86.12,90.4,4889,4605,5556,3292,6585,4242,0.05,55,60.17,1,4.95,60.61,50.82,73.9
The Red Practice - Crieff (10835),10835,S01011870,4183,84.47,88.45,93.37,2829,2414,2918,2117,4248,5922,0.11,110,62.52,0,4.45,60.63,51.49,75.3
The Rhinns Medical Centre - Port Charlotte - Isle of Islay (84350),84350,S01007325,770,78.33,87.84,92.73,4265,4610,4132,3069,4950,185,0.05,70,53.49,0,4.56,57.27,51.04,75.8
The Richmond Practice - Bo'ness (25084),25084,S01009257,8392,72.69,87.13,86.97,3964,3329,4237,2123,3975,6652,0.08,65,66.67,1,6.29,63.27,50.76,75.2
The Riverbank Practice - Dumbarton (85047),85047,S01013195,5584,63.89,84.07,83.95,1961,2054,1721,1351,3642,6476,0.12,140,68.85,1,3.03,65.83,51.63,72.8
The Roxburgh Practice - Greenock (86341),86341,S01010888,5463,68.38,85.61,86.9,924,367,749,1201,1000,6517,0.23,170,69.43,1,2.6,67.91,50.5,68.2
The Southern Medical Group - Edinburgh (70588),70588,S01008576,7810,74.51,94.51,88.41,5281,5167,5529,4488,6230,5460,0.04,55,62.04,1,10.21,69.59,49.26,73.9
The Stonelaw Practice - Rutherglen (60092),60092,S01012860,12940,57.24,91.83,83.93,3097,3909,2856,3932,4225,6488,0.07,95,46.91,1,1.41,65.93,51.3,76.9
The Surgery - Ayr (80062),80062,S01012482,5212,79.84,96.41,88.6,3337,2009,2014,3746,4357,6840,0.13,100,51.25,1,5.51,60.69,50.9,71.9
The Surgery - Kilmarnock (80414),80414,S01008013,8727,56.24,79.71,82.37,1374,917,1390,2285.5,3935,5954,0.18,130,54.89,1,2.87,67.73,49.66,73
The Taymount Surgery - Perth (14037),14037,S01011898,15785,67.48,89.6,86.68,6614.5,6410,6755,6963,6718,4339,0.02,20,60.95,1,2.36,61.7,51.57,75.3
The Terrace Medical Practice - Glasgow (40027),40027,S01008054,7678,63.13,79.97,87.03,4866.5,5279,4077,6379,6564,5788,0.04,65,49.16,1,7.71,60.42,51.08,75.9
The Turret Medical Centre - Kirkintilloch (43044),43044,S01008134,6391,72.37,78.51,88.49,2430,1542,3046,2221,5625,6450,0.15,110,68.34,1,4.32,65.22,51.26,75.9
The Tweed Practice - Peebles (16211),16211,S01012253,6004,67.91,87.76,89.98,3371,2917,2788,2332,4345,6693,0.09,80,58.57,1,8.35,60.29,50.68,79.3
The Victoria Practice - Edinburgh (70982),70982,S01008790,5493,71.29,57.51,89.45,2378,1710,2378,404,2078,6831,0.14,140,80.35,1,23.35,82.87,50.34,73.9
The Wards Medical Centre - Kilmarnock (80400),80400,S01008012,11857,53.95,92.01,80.35,986,1223,1210,2198,2236,5540,0.16,125,73.45,1,2.85,64.59,51.33,73
The Whins Medical Practice - Sauchie (25031),25031,S01007460,6926,39.44,77.92,69.28,1241,355,811,2182,1900,4987,0.24,180,61.64,1,2.34,66.71,50.55,72.9
The Whitevale Medical Group - Glasgow (46560),46560,S01010244,4719,74.02,98.51,85.09,747,1077,1463,83,1053,6757,0.17,170,71.62,1,16.46,71.96,48.32,69.8
The Wood Medical Practice - Broxburn (78306),78306,S01013459,7707,66.3,84.2,89.45,1946,2025,1498,3929,2476,6586,0.13,135,61.64,1,8.72,65.78,49.36,74.5
Thistle Medical Practice - Airdrie (61659),61659,S01011643,6662,44.22,81.58,77.21,4137,5612,2752,3339,4476,5212,0.03,95,66.91,1,6.61,68.75,46.64,69.7
Thornhill Medical Practice - Dumfriesshire (18339),18339,S01007561,3840,70.55,95.44,89.62,2983,3607,2857,5801,3766,6257,0.07,95,49.11,0,1.39,58.65,51.72,68.3
Thurso & Halkirk Medical Practice - Caithness (55003),55003,S01010805,5992,85.04,74.59,94.11,4319,3628,4912,5861.5,3898,5399,0.07,60,60.35,0,2.46,63.08,51.1,78.6
Thurston Road Medical Practice - Glasgow (52024),52024,S01009832,4076,86.62,95.33,90.27,2577,3099,2666,1978,3016,6695,0.09,120,62.15,1,8.18,68.25,51.03,69.8
Tillicoultry Medical Practice - Tillicoultry (25544),25544,S01007436,8379,70.75,95.67,86.58,641,1143,1361,1108,590,6463,0.17,150,62.16,1,2.52,63.13,50.9,72.9
Tinto Medical Practice - Airdrie (61131),61131,S01011643,5032,57.71,70.96,79.7,4137,5612,2752,3339,4476,5212,0.03,95,66.91,1,6.61,66.91,52.21,69.7
Tiree Medical Practice - Isle of Tiree (84805),84805,S01007284,756,97.85,100,99.09,4192,4066,4346,2552,4099,30,0.06,75,57.11,0,2,57.94,51.98,75.8
Tollcross Medical Centre - Glasgow (46343),46343,S01010063,7973,82.74,95.31,86.98,277,270,61,253,223,6529,0.25,235,72.32,1,8.23,67.88,49.71,69.8
Tongue Medical Practice - Tongue (55272),55272,S01010811,526,53.56,95.74,83.94,4023,4006,4950,3621,4652,148,0.06,75,61.22,0,2.11,58.94,49.81,78.6
Tor Medical Group - Plean (25991),25991,S01013026,3237,84.09,82.53,91.95,2518,1915,1520,4485,2093,2490,0.13,140,63.14,0,3.6,65.21,51.13,74.8
Torridon Medical Practice - Torridon (55446),55446,S01010688,468,93.98,98.9,99.19,4966.5,5236,6017,1881,6020,9,0.04,40,62.54,0,4.07,59.62,47.86,78.6
Townhead Practice - Montrose (13621),13621,S01007211,6836,78.28,95.41,93.05,1420,1212,1758,1661,1623,5675,0.16,155,64.59,1,4.76,61.83,50.91,72.2
Townhead Surgery - Irvine (80344),80344,S01011228,12184,64.22,94.04,86.33,1432,931,1149,3143,2906,4811,0.18,135,62.75,1,1.69,63.22,51.05,67.7
Tranent Medical Practice - Tranent (76226),76226,S01008226,14058,32.88,88.95,73.76,796,1032,1482,2961,1816,6615,0.17,160,61.71,1,3.18,64.59,50.92,75.3
Tryst Medical Centre - Stenhousemuir (25648),25648,S01009106,6232,56.96,73.86,74.6,3117,3230,2083,6097,2338,4887,0.08,120,66.61,1,2,65.1,51.73,75.2
Turriff Medical Practice - Turriff (31723),31723,S01007022,8706,36.57,87.6,82.37,3662,3731,5093,5198,3714,5310,0.07,70,54.86,0,3.41,61.2,50.11,79.5
Tweeddale Medical Practice - Fort William (55624),55624,S01010510,5151,76.2,86.28,86.52,3824,4243,3432,4463,3203,2408,0.06,85,56.55,1,3.41,67.38,50.18,78.6
Tyne Medical Practice - Haddington (76000),76000,S01008256,6663,90.15,92.53,96.1,1378,1343,2242,1616,2056,3820,0.15,110,65.52,1,6.8,63.32,50.49,75.3
Ullapool Health Centre - Ullapool (55451),55451,S01010692,2581,85.2,94.5,97.56,4271.5,4472,4475,3012,3373,4511,0.05,70,67.83,0,7.34,63.81,48.82,78.6
Unst Health Centre - Shetland (39161),39161,S01012414,603,95.72,97.56,96.52,4057,4344,5231,3716,4894,21,0.06,65,48.86,0,3.61,51.41,48.26,74.6
Upper Nithsdale Group Practice - Sanquhar (18324),18324,S01007555,4583,50.55,83.79,77.39,3510,4183,4436,5682,4643,2821,0.06,95,60.31,0,1.94,60.48,50.03,68.3
Valley Medical Practice - Ayrshire (80518),80518,S01007906,3811,56.3,69.34,83.62,582,750,361,4226,1026,6487,0.19,175,58.14,0,1.24,62.16,50.46,73
Valleyfield Medical Practice - High Valleyfield (20729),20729,S01009280,4094,23.05,74.92,74.45,1197,798,922,2715,370,2792,0.19,195,59.58,1,1.89,63.63,51.64,70.4
Varis Medical Practice - Moray (32801),32801,S01011163,8121,61.14,72.65,86.5,2712,2950.5,3448,2446,1696,4011,0.09,80,63.72,1,1.91,61.15,51.83,75.3
Victoria Practice - Perth (13941),13941,S01011893,10880,60.89,73.68,80.54,3253,2407,3216,2998,4086,5998,0.11,105,69.1,1,6.24,63.78,51.24,75.3
Viewfield Medical Practice - Stirling (25737),25737,S01013060,10022,37.91,63.15,76.83,4456,3878,4041,6711,5865,3185,0.07,65,57.92,1,6.41,67.15,50.48,74.8
Viewpark Health Centre - Uddingston (63832),63832,S01011539,2943,47.32,75.26,76.85,1058,962,374,976,114,6202,0.18,205,65.13,1,1.36,67.75,51.04,69.7
Viewpoint Medical Practice - Stenhousemuir (25390),25390,S01009100,6289,68.31,76.77,92.22,1703,1521,907,2379,2619,6621,0.15,150,58.3,1,1.92,64.8,51.63,75.2
Wallace Medical Centre - Falkirk (25262),25262,S01009142,7969,40.19,56.2,67.88,1290,579,1621,886,1028,5621,0.21,140,68.57,1,11,67.51,49.57,75.2
Wallsgreen Medical Practice - Cardenden (20254),20254,S01009440,3011,46.03,75.53,72.4,1219,1548,1752,4325,1619,6790,0.15,130,51.92,1,2.38,62.17,51.44,70.4
Wardlaw Medical Practice - Rutherglen (60105),60105,S01012860,4983,85.99,95.14,89.18,3097,3909,2856,3932,4225,6488,0.07,95,46.91,1,1.41,63.09,52.94,76.9
Waverley Medical Practice - Coatbridge (61447),61447,S01011601,21008,70.65,96.51,87.51,5703.5,5548.5,4191,3727,4062,4519,0.03,75,71.43,1,5.07,67.95,50.15,69.7
Waverley Medical Practice - Galashiels (16259),16259,S01012285,5006,75.59,82.59,83.21,4749,3191,4377,4059,5668,4917,0.09,70,54.86,1,3.17,65.4,51.48,79.3
Waverley Park Medical Practice - Glasgow (52151),52151,S01009917,4607,78.32,84.89,93.98,5819,6405,5855,1779,6448,6535,0.02,40,70.34,1,20.45,69.81,50.34,69.8
Wellhall Medical Centre - Hamilton (63438),63438,S01012781,11739,44.99,78.39,78.49,2812,2803,3379,4317,2909,4102,0.1,110,61.98,1,3.51,65.58,50,76.9
Wellwynd Practice - Airdrie (61625),61625,S01011643,20832,32.44,71.62,70.61,4137,5612,2752,3339,4476,5212,0.03,95,66.91,1,6.61,67.95,50.79,69.7
West Calder Medical Practice - West Calder (78147),78147,S01013256,9649,57.26,78.25,79.5,3066,2515,2226,5664,4107,5774,0.11,115,61.21,1,2.52,66.11,49.84,74.5
West End Medical Practice - Edinburgh (70319),70319,S01008868,11256,88.82,94.01,96.84,5141,4828,6061,840,6497,4239,0.05,40,86.17,1,32.68,76.59,50.51,73.9
West Linton Medical Practice - West Linton (16174),16174,S01012246,3953,79.85,95.08,96.6,4894,5622,6472,5082,6621,1467,0.03,35,60.61,0,3.32,63.75,51.68,79.3
"West Practice, Springfield Medical Centre - Arbroath (10322)",10322,S01007189,7960,76.47,93.31,86.34,1365,1090,1521,2394,2745,6602,0.17,150,54.98,1,4.45,63.35,50.52,72.2
Westburn Medical Group - Aberdeen (30261),30261,S01006563,6275,74.9,96.88,84.38,5609.5,4939,4954,2829,6349,5453,0.04,60,58.35,1,22.03,66.66,51.33,71.8
Westburn Medical Practice - Falkirk (25883),25883,S01009155,4553,52.85,84.67,90.8,5101,4256,5433,6484,6051,5905,0.06,55,64.4,1,3.17,65.56,50.43,75.2
Wester Hailes Medical Practice - Edinburgh (70978),70978,S01008451,7441,56.1,69.21,88.28,533,232,534,698,227,6663,0.26,225,66.26,1,23.89,72.37,47.64,73.9
Westfield Medical Practice - Johnstone (87729),87729,S01012046,4860,73.44,89.85,93.49,710,528,485,1883,1231,6711,0.21,200,65.54,1,2.48,65.35,47.65,77.1
Westgate Medical Practice - Dundee (11171),11171,S01007844,10944,86.83,88.82,97.28,665,272,767,619,1146,3872,0.25,170,72.22,1,10.59,65.04,51.6,71.7
Westmuir Medical Centre - Glasgow (46339),46339,S01010049,3851,64.54,87.97,83.86,231,450,343,295,257,6371,0.22,220,66.74,1,17.97,70.32,47.7,69.8
Whalsay Health Centre - Shetland (39020),39020,S01012415,1044,98.53,98.2,96.19,6037,6494.5,6705,6453,3457,739,0.02,30,55.52,0,1.04,57.76,49.23,74.6
Whinpark Medical Practice - Edinburgh (70253),70253,S01008481,10968,57.67,79.24,84.61,3291,4048,2494,2408,951,5708,0.06,120,77.02,1,7.31,68.52,50.16,73.9
Whitburn Group Medical Practice - Whitburn (78190),78190,S01013376,12638,39.34,63.12,67.26,1580,1660,1932,5127,622,5616,0.14,160,58.29,1,2.69,65.45,50.3,74.5
Whiteinch Medical Practice - Glasgow (40417),40417,S01010425,2216,61.88,88.05,82.35,281.5,287,409,331,928,6944,0.25,225,71.67,1,10.66,75.41,46.3,69.8
Whitesands Medical Practice - Dunbar (76086),76086,S01008291,4982,74.8,77.09,91.97,5614,4823,4763,5994,5169,5032,0.05,50,50.96,0,1.53,63.17,51.47,75.3
Whitfield Surgery - Dundee (12901),12901,S01007785,4204,75.06,83.3,85.77,245,363,344,1321,116,3197,0.24,210,62.72,1,1.82,64.82,52.12,71.7
Williamwood Practice - Glasgow (49784),49784,S01008383,9562,53.87,72.48,78.24,6362,5979,5750,6736,6922,6608,0.03,50,62.17,1,5.63,62.26,51.25,73.6
Willow Wood Medical Practice - Wishaw (62666),62666,S01011401,3650,49.8,80.22,76.69,2364,2242,2251,4322,3098,6555,0.12,130,63.23,1,1.85,69.07,55.78,69.7
Woodhead Medical Practice - Kirkintilloch (43581),43581,S01008130,6786,65.08,81.86,90.25,1877,1755.5,1435,1711,2553,5386,0.14,135,67.06,1,3.23,64.8,50.63,75.9
Woodside Medical Group - Aberdeen (31141),31141,S01006684,12173,63.53,84.39,79.27,664,208,502,500,58,6836,0.26,210,73.12,1,29.82,69.29,48.86,71.8
Yell Health Centre - Shetland (39015),39015,S01012413,989,87.48,98.33,94.43,4406,4909,4957,4034,5850,47,0.04,65,56.66,0,2.07,58.44,50.66,74.6
"Yellow Practice, Drumhar Health Centre - Perth (14342)",14342,S01011937,6389,75.02,88.41,91.37,2336,2509,2032,444,1724,6483,0.11,135,72.83,1,18.14,64.63,49.88,75.3
"Yellow Practice, Govan Health Centre - Glasgow (52330)",52330,S01009840,3985,81.54,93.62,95.6,870,755,452,1110,1968,6562,0.19,225,62.24,1,1.35,69.11,50.82,69.8
Yoker Medical Centre - Glasgow (40525),40525,S01010441,4641,66.06,93.44,82.4,3366,3629,3515,1071,3158,5712,0.07,85,81.35,1,7.92,71.54,49.6,69.8
